JobTitle,JobCompanyName,JobLocation,JobPostedDate,PositonID,JobLink,JobDesc,DateScrapedOn,
Lead Software Quality Assurance Engineer,Lull,Remote,Just posted,job_9070faeaba756307,https://www.indeed.com/rc/clk?jk=9070faeaba756307&fccid=e44bccf063175a21&vjs=3,GOLETA  CA / FLEXBRID (Flexible/Hybrid) / FULL-TIME. You will work closely with the VP of Engineering and the Head of Software Architecture.,2021/08/18 22:27:27
Senior Quality Engineer - Telecommute in Basking Ridge  NJ,UnitedHealth Group,Basking Ridge  NJ 07920•Remote,Just posted,job_bd00bd319c8b22fb,https://www.indeed.com/rc/clk?jk=bd00bd319c8b22fb&fccid=d3d3520998346837&vjs=3,If you are located in Basking Ridge  NJ you will have the flexibility to telecommute*  and occasionally come into the office  as you take on some tough…,2021/08/18 22:27:27
Application Architect - Test Services,IBM,Research Triangle Park  NC 27709,1 day ago,job_648a2f1e0eba3fb4,https://www.indeed.com/rc/clk?jk=648a2f1e0eba3fb4&fccid=de71a49b535e21cb&vjs=3,To think along with clients and sell. Design & Execute Test Strategy and Plan for Large & Complex programs. Manage team of Test Specialists and Leads.,2021/08/18 22:27:28
Developer,Barclays,Whippany  NJ,Just posted,job_8a03aba4bbb44e80,https://www.indeed.com/rc/clk?jk=8a03aba4bbb44e80&fccid=057abf3fd357e717&vjs=3,As a Barclays Developer  you will work with the business to define requirements  writing high quality documentation and work through the entire development…,2021/08/18 22:27:28
Automated Selenium Tester,JME Technologies,Chantilly  VA,Just posted,job_01a9996a47d5cddf,https://www.indeed.com/rc/clk?jk=01a9996a47d5cddf&fccid=67fcd5f05e5f6815&vjs=3,CLEARANCE REQUIRED: TS/SCI with Poly. Active TS/SCI with Poly clearance. Manage and maintain Selenium automation scripts. Prepare and present test reports.,2021/08/18 22:27:28
Sr. Software Developer,Highlights for Children  Inc.,Grandview Heights  OH 43212,1 day ago,job_5ab12b856aea2179,https://www.indeed.com/rc/clk?jk=5ab12b856aea2179&fccid=ad90efe53795a020&vjs=3,As part of the Zaner-Bloser Digital Product build team  the senior software developer is a skilled and experienced programmer who will write engaging learning…,2021/08/18 22:27:28
Associate Software Engineer In Test,Veson Nautical,Boston  MA 02110 (Central area)+1 location,Today,job_5ee599b226b13e71,https://www.indeed.com/rc/clk?jk=5ee599b226b13e71&fccid=4fb973947922c457&vjs=3,Experience with a variety of testing tools and scripting languages: selenium  chromedriver  Python  JavaScript  PowerShell  CLI tools  etc.,2021/08/18 22:27:28
Jr. QA Tester,People Tech Group,Warren  MI•Temporarily Remote,Just posted,sj_c0f004c938676071,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C2UUPW2tVhfpZrjs__OcwgoZzfO93HUtBUcPCT5kT-Ff-9gmsqs8yn90Cp2CBaFG22M8zlSnbw4ZAR-pAZNbUijjHvJM7c6aBW3cPQ0E4Du-UWuARBS_48TnQp1j6c7WS0Jtn2aGemEIwCb3hYchRHBk5zohhuHetCWZtz3tdeViFCQKkawQMUQ_dec8tPRY6LSgTqqtl049-nNW3hwhnmemYhiBMhF_zYqPio2TZOqCF3jf8gFFR_2Los-bUYRKdKcjWsniDHTGMD4Yssp-yIgjiWfSSxVOtOsvgRIw0wUjLctKhlWlWaAEcAy0iiAuSmvSuMX4qzZR4kze3r4XCdLtXsX_iul9PqT5zkQDkMa4Aa0EAzADYkXQJlHta6FdMRhZhRj2OhPvsHvWHnNLWYg-eE46lWOsQoKfs8mCKbiwJJRDU8l0vuYGfFNjsI1v2B1RY1p8MZbYcgURo9lFHP&p=0&fvj=1&vjs=3,Resource should have 2+ years of software application testing/quality analysis experience. Any embedded/hardware experience would be advantage.,2021/08/18 22:27:31
Automation Tester,TEKsystems,Charlotte  NC 28201 (Myers Park area),Just posted,sj_8f3770c15b8d8a22,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AuKz8EBO1xHDEL7V2YF9xF3dC_I9B9i-Zw2Jh8clPMK9BxhHDJszxSI9HGOLQ9iPauRr9kl1Wac2VVGV1aufdrEtoChJq_qGa61M-sEER3YJWkD_zG-W_e7syvYuC_NifK5wx-S2pYu9_aA2xM_W39vhzM58ANaa4L9J8N7KbzrMO-gFZXk4uZqfcctLhSXuAGesDV4pUlygET0uDU14TVUWcr25jhO0iF1Y1JRIl76joscmaQtUBlz27JgJ-kJEPQDvBR0z1oZA_W_d_ohQZphVjh9q1gbmromNKdcDz1OvTMEmE-f-cbugF4mpFsrZ9kSx0udJ2761bCutLzDENDK3V9i50U1har3XJvPjQGWKyCrP_M84hSofIvnPAlKfyl4dennEgyTZJV5nXeo3FtsaAR1kDBQCPuCXMcIaXi2X_8bIMrf3Nt8r-R7aCIpqI4842R_TOoHW4IeFjGe0kTcL37kIXdsQjyOCXIvJUGpLdWdtO-VZJOCAJm4FBvtlM4-jR7C2t2psIbRMyAzIgP44lnnDg_dl1JUGEsxpHR3l5hZrdAISAQkhzmrivoECv3-zgnjlU3swHmoI_8epDHHqr_E0Ucxx1v4DpEG3-zOPR9Mkjswzve6pIzkmlrRHzhgCXzvrY9Xz83AbXikb_gboTUMgJMzz2jVnUm5lIvbIJPikQbMvmNoo4eVAdGrQcFnI7ERG0SmMn3ksVtNYvcZ6RwsiVXV1dRoTSoASGTWyiu23U1xhavekecnsDZjtK1gkQyJVdufBkKdThbysiGk1NmbsVoL24etWs0fAQfFSrm1r0Pa_fEwjv3NdQ1UMXzMK4qrsswDVDOpcZPaHcn0sJmAULy8chqEmTN1H1JhHzjWli9JFzw2xrvr9R6olZ1fPDsJYok_oeF2UbVVMRQEnQN8OPRiNReY10uAMPo3eqUOsJBnBZCIe3VCqj9jAyJdBaw0-Z5og==&p=1&fvj=0&vjs=3,Don’t want to see people with selenium. #1 80% automation testing  20% manual testing – any lead experience is preferred -Must have experience building…,2021/08/18 22:27:31
Automation tester,Brillio,Phoenix  AZ,Just posted,job_136ce6dc5caf1c41,https://www.indeed.com/rc/clk?jk=136ce6dc5caf1c41&fccid=a2520645450d003a&vjs=3,Essential Duties Setting up  maintaining test automation frameworks on multiple application platforms  for APIs and Microservices deployed on prem and on cloud.,2021/08/18 22:27:31
